,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
SVC,0.5566,0.1193,0.725,0.1346,0.4628,0.1365,0.7714,0.0791,0.8456,0.0745,2
DecisionTreeClassifier,0.4149,0.2523,0.4,0.255,0.5,0.3465,0.781,0.1069,0.6757,0.1603,2
BernoulliNB,0.3971,0.2294,0.325,0.1953,0.55,0.3337,0.8333,0.0439,0.7515,0.1131,2
BaggingClassifier,0.3892,0.1644,0.35,0.1658,0.49,0.249,0.8048,0.0396,0.7279,0.1135,2
GradientBoostingClassifier,0.3735,0.2002,0.375,0.2305,0.4386,0.2695,0.781,0.0713,0.7941,0.0654,2
ExtraTreesClassifier,0.3679,0.2296,0.325,0.225,0.4417,0.2473,0.8048,0.0619,0.8191,0.0548,2
RandomForestClassifier,0.3643,0.2541,0.35,0.255,0.3933,0.2635,0.7905,0.0744,0.8132,0.0587,2
GaussianProcessClassifier,0.3298,0.2006,0.3,0.1871,0.375,0.2275,0.7905,0.0436,0.8015,0.0921,2
XGBClassifier,0.3277,0.2351,0.3,0.2179,0.4217,0.3531,0.7762,0.0826,0.8213,0.077,2
LogisticRegression,0.3205,0.2315,0.25,0.1936,0.5167,0.3905,0.819,0.0513,0.8221,0.0601,2
GaussianNB,0.301,0.212,0.225,0.175,0.5333,0.393,0.8095,0.0602,0.8294,0.069,2
KNeighborsClassifier,0.2829,0.2069,0.225,0.175,0.4167,0.3184,0.8048,0.0449,0.7331,0.0896,2
AdaBoostClassifier,0.2058,0.1759,0.25,0.25,0.1988,0.174,0.7524,0.0632,0.6294,0.0744,2
